provider_slug,vip,status,endpoint_count,supports_home,supports_search,supports_episode_list,supports_playback,supports_subtitle,supports_unlock,playback_type
hishort,VIP1,active,4,True,True,False,False,False,False,unknown
meloshort,VIP1,active,6,False,True,True,False,False,False,unknown
microdrama,VIP1,active,4,False,True,False,False,False,False,unknown
snackshort,VIP1,active,7,True,True,True,False,False,False,unknown
stardusttv,VIP1,active,5,True,True,False,True,False,False,video
velolo,VIP1,active,7,False,False,False,True,False,False,stream
dotdrama,VIP2,active,4,False,False,False,False,False,False,unknown
flickreels,VIP2,active,8,True,True,True,True,False,False,play
freereels,VIP2,active,13,True,True,True,True,False,False,play
minutedrama,VIP3,active,3,False,True,False,True,False,False,video
rapidtv,VIP3,active,4,False,True,True,False,False,False,unknown
starshort,VIP3,active,7,False,True,True,False,False,False,unknown
cashdrama,VIP5,active,9,True,True,True,True,False,False,play
dramanow,VIP5,active,4,False,True,False,True,False,False,video
radreels,VIP5,active,8,True,True,True,True,False,False,video
shorten,VIP5,active,7,False,False,False,False,False,False,unknown
shortsky,VIP5,active,6,True,True,False,False,False,False,unknown
shotshort,VIP5,active,8,False,True,True,False,False,False,unknown
sodareels,VIP5,active,6,True,True,True,False,False,False,unknown
dramadash,VIP6,active,4,False,True,False,False,False,False,unknown
dramarush,VIP6,active,7,False,True,False,True,False,False,play
dramawave,VIP6,active,7,True,True,False,True,False,False,play
flickshort,VIP6,active,6,True,True,False,False,False,False,unknown
dreamshort,VIP7,active,5,False,True,False,False,False,False,unknown
reelife,VIP7,active,6,True,True,True,False,False,False,unknown
shortbox,VIP7,active,9,False,True,True,True,False,False,stream
vigloo,VIP7,active,11,False,True,True,True,False,False,play
flextv,VIP8,active,7,False,True,True,True,False,False,play
goodshort,VIP8,active,6,True,True,True,True,False,False,play
idrama,VIP8,active,9,False,True,False,False,False,True,unknown
mydrama,VIP8,active,7,False,True,True,True,False,False,video
bilitv,VIP9,active,8,True,True,False,False,True,False,unknown
dramabite,VIP9,active,9,True,True,False,False,False,False,unknown
dramanova,VIP9,active,7,False,True,False,False,False,False,unknown
dramapops,VIP9,active,9,True,True,False,True,False,False,video
fundrama,VIP9,active,6,False,True,True,False,False,False,unknown
kalostv,VIP9,active,9,True,True,True,True,False,False,video
melolo,VIP9,active,7,False,True,False,True,False,False,video
netshort,VIP9,active,14,True,True,True,False,False,False,unknown
reelshort,VIP9,active,12,True,True,True,True,False,False,video
shortmax,VIP9,active,13,True,True,False,True,False,False,play
dramabox,VIP4,maintenance,0,False,False,False,False,False,False,unknown
